model,point_estimate,ci_lower,ci_upper,std_error,n_resamples,block_size
lstm,0.23156664878908653,0.0,0.367969177324678,0.09613405546447308,2000,20
patchtst,-0.05009681899084773,-0.3166467523768093,0.16367061013969733,0.12442486802445588,2000,20
itransformer,0.14171800868080436,-0.09630241144144076,0.6072900445338363,0.19379224756890306,2000,20
lightgbm,0.03366510882303059,-0.13657053712365205,0.25058232530083757,0.10517269644297363,2000,20
