symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VNM.VN')","('high', 'VNM.VN')","('low', 'VNM.VN')","('close', 'VNM.VN')","('volume', 'VNM.VN')"
VNM,2016-01-04,47320.0,47690.0,46570.0,46940.0,469320.0,,,,,,
VNM,2016-01-05,46940.0,47320.0,46570.0,46570.0,285680.0,,,,,,
VNM,2016-01-06,46570.0,46940.0,46200.0,46940.0,250760.0,,,,,,
VNM,2016-01-07,46570.0,46570.0,45460.0,46200.0,731010.0,,,,,,
VNM,2016-01-08,45820.0,45820.0,45080.0,45460.0,615950.0,,,,,,
VNM,2016-01-11,45080.0,45820.0,45080.0,45080.0,407320.0,,,,,,
VNM,2016-01-12,45080.0,45820.0,45080.0,45820.0,288070.0,,,,,,
VNM,2016-01-13,45820.0,45820.0,45080.0,45080.0,232630.0,,,,,,
VNM,2016-01-14,45080.0,45460.0,44700.0,45080.0,338870.0,,,,,,
VNM,2016-01-15,45460.0,45820.0,44700.0,44700.0,495560.0,,,,,,
VNM,2016-01-18,44340.0,44340.0,42480.0,43590.0,1244120.0,,,,,,
VNM,2016-01-19,43210.0,44340.0,43210.0,44340.0,375380.0,,,,,,
VNM,2016-01-20,43970.0,44340.0,43590.0,43590.0,313330.0,,,,,,
VNM,2016-01-21,43210.0,43970.0,42850.0,43210.0,333300.0,,,,,,
VNM,2016-01-22,43210.0,43590.0,41730.0,42480.0,716530.0,,,,,,
VNM,2016-01-25,43210.0,43970.0,42850.0,43970.0,325040.0,,,,,,
VNM,2016-01-26,43210.0,43590.0,42480.0,42850.0,289980.0,,,,,,
VNM,2016-01-27,43590.0,43590.0,42850.0,43590.0,276700.0,,,,,,
VNM,2016-01-28,43210.0,43970.0,43210.0,43210.0,249720.0,,,,,,
VNM,2016-01-29,43210.0,43590.0,42850.0,43210.0,178270.0,,,,,,
VNM,2016-02-01,43210.0,44700.0,43210.0,44340.0,865310.0,,,,,,
VNM,2016-02-02,43970.0,45080.0,43970.0,44340.0,251520.0,,,,,,
VNM,2016-02-03,43970.0,45080.0,43970.0,45080.0,269870.0,,,,,,
VNM,2016-02-04,45820.0,46200.0,45460.0,45460.0,257320.0,,,,,,
VNM,2016-02-05,45460.0,46200.0,45460.0,46200.0,204410.0,,,,,,
VNM,2016-02-15,45460.0,46940.0,45460.0,46940.0,473520.0,,,,,,
VNM,2016-02-16,47690.0,48070.0,47320.0,47690.0,622180.0,,,,,,
VNM,2016-02-17,49170.0,49560.0,48070.0,48440.0,2003290.0,,,,,,
VNM,2016-02-18,48820.0,48820.0,47690.0,48070.0,833000.0,,,,,,
VNM,2016-02-19,48440.0,48440.0,47690.0,48070.0,373060.0,,,,,,
VNM,2016-02-22,48070.0,48820.0,47690.0,48440.0,763080.0,,,,,,
VNM,2016-02-23,48820.0,49170.0,48070.0,48440.0,873310.0,,,,,,
VNM,2016-02-24,48440.0,48820.0,48070.0,48820.0,489650.0,,,,,,
VNM,2016-02-25,48820.0,49170.0,48070.0,48070.0,780490.0,,,,,,
VNM,2016-02-26,48440.0,48440.0,47690.0,48440.0,538020.0,,,,,,
VNM,2016-02-29,48440.0,48440.0,47690.0,47690.0,476190.0,,,,,,
VNM,2016-03-01,48070.0,48820.0,47690.0,48440.0,673510.0,,,,,,
VNM,2016-03-02,48820.0,49170.0,48070.0,49170.0,817420.0,,,,,,
VNM,2016-03-03,49170.0,49560.0,48820.0,48820.0,430930.0,,,,,,
VNM,2016-03-04,48820.0,49170.0,48440.0,49170.0,309870.0,,,,,,
VNM,2016-03-07,48820.0,49560.0,48820.0,48820.0,598820.0,,,,,,
VNM,2016-03-08,48820.0,49170.0,48440.0,48820.0,395200.0,,,,,,
VNM,2016-03-09,48820.0,49170.0,48440.0,48820.0,164840.0,,,,,,
VNM,2016-03-10,48820.0,48820.0,48070.0,48820.0,494890.0,,,,,,
VNM,2016-03-11,48440.0,50660.0,48440.0,50660.0,2205510.0,,,,,,
