symbol,date,open,high,low,close,volume,"('date', '')","('open', 'STB.VN')","('high', 'STB.VN')","('low', 'STB.VN')","('close', 'STB.VN')","('volume', 'STB.VN')"
STB,2016-01-04,12600.0,12800.0,12300.0,12600.0,1127820.0,,,,,,
STB,2016-01-05,12600.0,12600.0,12300.0,12300.0,332490.0,,,,,,
STB,2016-01-06,12400.0,12900.0,12400.0,12800.0,1267100.0,,,,,,
STB,2016-01-07,12700.0,12800.0,12400.0,12600.0,835460.0,,,,,,
STB,2016-01-08,12600.0,12700.0,12300.0,12600.0,452540.0,,,,,,
STB,2016-01-11,12600.0,12700.0,12300.0,12300.0,470190.0,,,,,,
STB,2016-01-12,12400.0,12500.0,12200.0,12500.0,229760.0,,,,,,
STB,2016-01-13,12500.0,12600.0,12300.0,12400.0,158620.0,,,,,,
STB,2016-01-14,11900.0,12200.0,11800.0,11900.0,493350.0,,,,,,
STB,2016-01-15,11800.0,11900.0,11100.0,11100.0,1422060.0,,,,,,
STB,2016-01-18,10600.0,11100.0,10600.0,10700.0,591700.0,,,,,,
STB,2016-01-19,10800.0,11300.0,10800.0,11200.0,308310.0,,,,,,
STB,2016-01-20,11200.0,11300.0,10900.0,10900.0,366490.0,,,,,,
STB,2016-01-21,10800.0,11300.0,10600.0,10600.0,736540.0,,,,,,
STB,2016-01-22,10800.0,10900.0,10600.0,10900.0,382120.0,,,,,,
STB,2016-01-25,10900.0,11600.0,10900.0,11600.0,494380.0,,,,,,
STB,2016-01-26,11300.0,11400.0,11100.0,11100.0,433640.0,,,,,,
STB,2016-01-27,11300.0,11500.0,11200.0,11200.0,300190.0,,,,,,
STB,2016-01-28,11200.0,11700.0,11200.0,11300.0,201130.0,,,,,,
STB,2016-01-29,11300.0,11500.0,11200.0,11300.0,468470.0,,,,,,
STB,2016-02-01,11300.0,11400.0,11200.0,11200.0,323240.0,,,,,,
STB,2016-02-02,11200.0,11300.0,11100.0,11100.0,153230.0,,,,,,
STB,2016-02-03,11100.0,11100.0,10900.0,11100.0,362660.0,,,,,,
STB,2016-02-04,11100.0,11200.0,11000.0,11200.0,274830.0,,,,,,
STB,2016-02-05,11200.0,11200.0,11100.0,11200.0,333120.0,,,,,,
STB,2016-02-15,11000.0,11200.0,10800.0,11000.0,582470.0,,,,,,
STB,2016-02-16,10900.0,11000.0,10900.0,10900.0,716690.0,,,,,,
STB,2016-02-17,10900.0,10900.0,10600.0,10600.0,1636020.0,,,,,,
STB,2016-02-18,10700.0,11100.0,10600.0,11000.0,697250.0,,,,,,
STB,2016-02-19,10800.0,11100.0,10800.0,11000.0,781900.0,,,,,,
