symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VIB.VN')","('high', 'VIB.VN')","('low', 'VIB.VN')","('close', 'VIB.VN')","('volume', 'VIB.VN')"
VIB,2017-01-09,2110.0,2110.0,1510.0,1650.0,346000.0,,,,,,
VIB,2017-01-10,1700.0,1700.0,1650.0,1660.0,234947.0,,,,,,
VIB,2017-01-11,1660.0,1660.0,1620.0,1650.0,173442.0,,,,,,
VIB,2017-01-12,1600.0,1600.0,1500.0,1500.0,52349.0,,,,,,
VIB,2017-01-13,1450.0,1450.0,1330.0,1340.0,70740.0,,,,,,
VIB,2017-01-16,1400.0,1400.0,1340.0,1390.0,134435.0,,,,,,
VIB,2017-01-17,1400.0,1460.0,1400.0,1460.0,40175.0,,,,,,
VIB,2017-01-18,1510.0,1530.0,1500.0,1530.0,20408.0,,,,,,
VIB,2017-01-19,1540.0,1570.0,1530.0,1570.0,73089.0,,,,,,
VIB,2017-01-20,1550.0,1610.0,1550.0,1560.0,52135.0,,,,,,
VIB,2017-01-23,1610.0,1650.0,1580.0,1580.0,42247.0,,,,,,
VIB,2017-01-24,1630.0,1660.0,1630.0,1660.0,63225.0,,,,,,
VIB,2017-01-25,1650.0,1650.0,1650.0,1650.0,1610.0,,,,,,
VIB,2017-02-02,1650.0,1650.0,1580.0,1580.0,9810.0,,,,,,
VIB,2017-02-03,1580.0,1650.0,1580.0,1630.0,7890.0,,,,,,
VIB,2017-02-06,1610.0,1610.0,1610.0,1610.0,75013.0,,,,,,
VIB,2017-02-07,1610.0,1610.0,1610.0,1610.0,23900.0,,,,,,
VIB,2017-02-08,1610.0,1610.0,1580.0,1580.0,11454.0,,,,,,
VIB,2017-02-09,1610.0,1650.0,1600.0,1600.0,27845.0,,,,,,
VIB,2017-02-10,1610.0,1650.0,1610.0,1650.0,12638.0,,,,,,
VIB,2017-02-13,1600.0,1650.0,1600.0,1650.0,24240.0,,,,,,
VIB,2017-02-14,1610.0,1630.0,1610.0,1610.0,17715.0,,,,,,
VIB,2017-02-15,1610.0,1660.0,1610.0,1630.0,53610.0,,,,,,
VIB,2017-02-16,1650.0,1680.0,1650.0,1660.0,62280.0,,,,,,
VIB,2017-02-17,1650.0,1650.0,1650.0,1650.0,1540.0,,,,,,
VIB,2017-02-20,1650.0,1680.0,1650.0,1650.0,20599.0,,,,,,
VIB,2017-02-21,1650.0,1660.0,1650.0,1660.0,12750.0,,,,,,
VIB,2017-02-22,1660.0,1660.0,1650.0,1650.0,41019.0,,,,,,
VIB,2017-02-23,1660.0,1660.0,1650.0,1650.0,60220.0,,,,,,
VIB,2017-02-24,1660.0,1660.0,1650.0,1660.0,30064.0,,,,,,
VIB,2017-02-27,1660.0,1660.0,1650.0,1660.0,16720.0,,,,,,
VIB,2017-02-28,1650.0,1680.0,1650.0,1660.0,13447.0,,,,,,
VIB,2017-03-01,1660.0,1710.0,1660.0,1680.0,8158.0,,,,,,
VIB,2017-03-02,1710.0,1790.0,1700.0,1710.0,17246.0,,,,,,
VIB,2017-03-03,1710.0,1730.0,1710.0,1730.0,13301.0,,,,,,
VIB,2017-03-06,1730.0,1730.0,1710.0,1710.0,20752.0,,,,,,
VIB,2017-03-07,1680.0,1730.0,1680.0,1710.0,15280.0,,,,,,
VIB,2017-03-08,1680.0,1680.0,1680.0,1680.0,4000.0,,,,,,
VIB,2017-03-09,1680.0,1680.0,1680.0,1680.0,6619.0,,,,,,
VIB,2017-03-10,1680.0,1710.0,1680.0,1710.0,1400.0,,,,,,
VIB,2017-03-13,1710.0,1710.0,1710.0,1710.0,3515.0,,,,,,
VIB,2017-03-14,1710.0,1730.0,1710.0,1710.0,12650.0,,,,,,
VIB,2017-03-15,1700.0,1710.0,1680.0,1710.0,42200.0,,,,,,
VIB,2017-03-16,1720.0,1720.0,1720.0,1720.0,12643.0,,,,,,
VIB,2017-03-17,1740.0,1740.0,1740.0,1740.0,4767.0,,,,,,
VIB,2017-03-20,1740.0,1740.0,1710.0,1710.0,15087.0,,,,,,
VIB,2017-03-21,1720.0,1720.0,1720.0,1720.0,8753.0,,,,,,
VIB,2017-03-22,1750.0,1750.0,1720.0,1720.0,23629.0,,,,,,
VIB,2017-03-23,1720.0,1720.0,1720.0,1720.0,7280.0,,,,,,
VIB,2017-03-24,1680.0,1750.0,1680.0,1720.0,13548.0,,,,,,
VIB,2017-03-27,1720.0,1740.0,1720.0,1740.0,4030.0,,,,,,
VIB,2017-03-28,1720.0,1750.0,1720.0,1750.0,11397.0,,,,,,
