symbol,date,open,high,low,close,volume,"('date', '')","('open', 'POW.VN')","('high', 'POW.VN')","('low', 'POW.VN')","('close', 'POW.VN')","('volume', 'POW.VN')"
POW,2018-03-06,13800.0,14430.0,13250.0,14030.0,14922100.0,,,,,,
POW,2018-03-07,14350.0,15770.0,11750.0,13250.0,7174392.0,,,,,,
POW,2018-03-08,13560.0,13800.0,11590.0,13560.0,6824944.0,,,,,,
POW,2018-03-09,13480.0,13880.0,11510.0,13800.0,5309486.0,,,,,,
POW,2018-03-12,13960.0,13960.0,11670.0,13640.0,4343745.0,,,,,,
POW,2018-03-13,13640.0,13720.0,11670.0,13560.0,4454169.0,,,,,,
POW,2018-03-14,13560.0,13640.0,11590.0,13400.0,4455422.0,,,,,,
POW,2018-03-15,13480.0,13480.0,11510.0,13170.0,3704865.0,,,,,,
POW,2018-03-16,13170.0,13560.0,13170.0,13480.0,3923430.0,,,,,,
POW,2018-03-19,13560.0,13640.0,11430.0,13400.0,2652660.0,,,,,,
POW,2018-03-20,13400.0,13400.0,11350.0,13170.0,2469883.0,,,,,,
POW,2018-03-21,13400.0,13400.0,13170.0,13170.0,1929052.0,,,,,,
POW,2018-03-22,13250.0,13250.0,11280.0,12850.0,3131060.0,,,,,,
POW,2018-03-23,12620.0,12770.0,10960.0,12690.0,3356387.0,,,,,,
POW,2018-03-26,12620.0,12620.0,12300.0,12380.0,1932826.0,,,,,,
POW,2018-03-27,12380.0,12460.0,12300.0,12300.0,1055477.0,,,,,,
POW,2018-03-28,12300.0,13420.0,10570.0,12300.0,1694196.0,,,,,,
POW,2018-03-29,12380.0,13090.0,12300.0,12770.0,2103906.0,,,,,,
POW,2018-03-30,12850.0,13170.0,12770.0,13090.0,2016564.0,,,,,,
POW,2018-04-02,13090.0,13250.0,12930.0,13090.0,2577643.0,,,,,,
POW,2018-04-03,13090.0,13090.0,12620.0,12770.0,2257070.0,,,,,,
POW,2018-04-04,13010.0,13330.0,12770.0,12930.0,2402101.0,,,,,,
POW,2018-04-05,13010.0,13090.0,12690.0,12770.0,1725227.0,,,,,,
POW,2018-04-06,12770.0,12850.0,12540.0,12690.0,1731257.0,,,,,,
POW,2018-04-09,12690.0,14510.0,12380.0,12620.0,1733995.0,,,,,,
POW,2018-04-10,12540.0,12690.0,12380.0,12540.0,1485078.0,,,,,,
POW,2018-04-11,12540.0,12620.0,12060.0,12300.0,2053300.0,,,,,,
POW,2018-04-12,12300.0,12380.0,12220.0,12380.0,977010.0,,,,,,
POW,2018-04-13,12300.0,12380.0,12060.0,12300.0,1503780.0,,,,,,
POW,2018-04-16,12380.0,12540.0,12060.0,12220.0,1698800.0,,,,,,
POW,2018-04-17,12220.0,14030.0,12060.0,12300.0,742496.0,,,,,,
POW,2018-04-18,12300.0,12300.0,11830.0,11910.0,1683810.0,,,,,,
POW,2018-04-19,11980.0,11980.0,11430.0,11510.0,2236680.0,,,,,,
POW,2018-04-20,11430.0,11590.0,9860.0,11510.0,1461117.0,,,,,,
POW,2018-04-23,11590.0,11670.0,10570.0,11200.0,859630.0,,,,,,
POW,2018-04-24,11200.0,11280.0,10800.0,10880.0,1109190.0,,,,,,
POW,2018-04-26,11350.0,11430.0,10640.0,10720.0,2116175.0,,,,,,
POW,2018-04-27,10880.0,10880.0,9460.0,10720.0,1100812.0,,,,,,
POW,2018-05-02,10720.0,11200.0,10570.0,10640.0,1171176.0,,,,,,
POW,2018-05-03,10720.0,11430.0,10170.0,10490.0,1736969.0,,,,,,
POW,2018-05-04,10410.0,10640.0,10410.0,10570.0,976440.0,,,,,,
POW,2018-05-07,10880.0,11910.0,10720.0,11350.0,1944203.0,,,,,,
POW,2018-05-08,11510.0,11510.0,11200.0,11350.0,1537398.0,,,,,,
POW,2018-05-09,11350.0,11750.0,11200.0,11200.0,1083060.0,,,,,,
POW,2018-05-10,11200.0,11280.0,10800.0,10800.0,1152051.0,,,,,,
POW,2018-05-11,10880.0,11120.0,10800.0,11040.0,819030.0,,,,,,
POW,2018-05-14,11040.0,11200.0,10880.0,11120.0,623290.0,,,,,,
