symbol,date,open,high,low,close,volume
BCM,2018-02-21,26130.0,26130.0,22070.0,22070.0,81200
BCM,2018-02-22,22940.0,22940.0,22070.0,22070.0,28900
BCM,2018-02-23,22240.0,22240.0,19770.0,20300.0,37800
BCM,2018-02-26,19420.0,21450.0,17650.0,20210.0,21100
BCM,2018-02-27,21880.0,21880.0,17650.0,21170.0,34700
BCM,2018-02-28,18010.0,19420.0,18010.0,19420.0,2300
BCM,2018-03-01,19500.0,19680.0,18620.0,19680.0,21100
BCM,2018-03-02,19420.0,19420.0,18180.0,19150.0,24900
BCM,2018-03-05,19050.0,19340.0,18880.0,19150.0,35500
BCM,2018-03-06,20230.0,20230.0,18420.0,19500.0,4200
BCM,2018-03-07,18420.0,18420.0,17980.0,18160.0,3000
BCM,2018-03-08,18880.0,18880.0,18880.0,18880.0,2100
BCM,2018-03-09,18880.0,18880.0,16180.0,18780.0,36700
BCM,2018-03-12,17980.0,18780.0,17530.0,18420.0,7000
BCM,2018-03-13,17980.0,17980.0,17260.0,17800.0,15100
BCM,2018-03-14,17170.0,17710.0,16900.0,16900.0,11700
BCM,2018-03-15,16450.0,17530.0,16180.0,17350.0,29700
BCM,2018-03-16,18780.0,19340.0,17530.0,17980.0,33500
BCM,2018-03-19,18160.0,19050.0,18160.0,19050.0,14000
BCM,2018-03-20,17980.0,18780.0,17170.0,17980.0,101100
BCM,2018-03-21,18420.0,18420.0,17170.0,17800.0,63600
BCM,2018-03-22,17980.0,20140.0,17800.0,20140.0,135400
BCM,2018-03-23,20050.0,21400.0,19780.0,21120.0,97700
BCM,2018-03-26,21840.0,21940.0,20410.0,21590.0,198500
BCM,2018-03-27,21590.0,24090.0,18710.0,21590.0,362200
BCM,2018-03-28,21210.0,23560.0,20230.0,21490.0,433200
BCM,2018-03-29,21400.0,22750.0,21120.0,21400.0,272700
BCM,2018-03-30,21650.0,22470.0,21650.0,22380.0,46000
BCM,2018-04-02,22470.0,23100.0,22470.0,23100.0,47800
BCM,2018-04-03,23290.0,24270.0,22920.0,23640.0,49300
BCM,2018-04-04,23640.0,23640.0,23010.0,23380.0,60400
BCM,2018-04-05,23380.0,23640.0,23010.0,23560.0,206800
BCM,2018-04-06,23380.0,23560.0,22920.0,23190.0,70500
BCM,2018-04-09,22840.0,24090.0,22750.0,23820.0,71600
BCM,2018-04-10,22750.0,23560.0,22750.0,23380.0,63800
BCM,2018-04-11,23380.0,23380.0,22470.0,23190.0,77400
BCM,2018-04-12,23100.0,23190.0,22470.0,23100.0,100200
BCM,2018-04-13,23190.0,23380.0,22660.0,23190.0,36600
BCM,2018-04-16,23010.0,23100.0,23010.0,23100.0,55000
BCM,2018-04-17,23100.0,23100.0,22470.0,23100.0,58000
BCM,2018-04-18,23010.0,23100.0,23010.0,23100.0,10500
BCM,2018-04-19,22470.0,23010.0,22290.0,23010.0,30000
BCM,2018-04-20,22920.0,23100.0,22920.0,23100.0,20200
BCM,2018-04-23,22920.0,23010.0,22470.0,22470.0,31600
BCM,2018-04-24,22920.0,22920.0,22470.0,22470.0,21100
BCM,2018-04-26,22470.0,22470.0,22380.0,22380.0,28200
BCM,2018-04-27,22470.0,22470.0,22470.0,22470.0,33200
BCM,2018-05-02,22470.0,23010.0,22470.0,23010.0,13900
BCM,2018-05-03,23100.0,23100.0,22840.0,22920.0,1300
BCM,2018-05-04,23100.0,23100.0,23100.0,23100.0,4700
BCM,2018-05-07,21590.0,21590.0,19870.0,20680.0,11900
BCM,2018-05-08,22380.0,22470.0,18880.0,22380.0,101600
BCM,2018-05-09,21940.0,21940.0,19950.0,19950.0,300
BCM,2018-05-10,20140.0,22380.0,20140.0,20680.0,1400
BCM,2018-05-11,21490.0,21490.0,21490.0,21490.0,100
BCM,2018-05-14,21490.0,21490.0,21490.0,21490.0,0
BCM,2018-05-15,21120.0,21120.0,21120.0,21120.0,100
BCM,2018-05-16,21490.0,21490.0,19780.0,21400.0,10500
BCM,2018-05-17,22470.0,22470.0,22470.0,22470.0,100
BCM,2018-05-18,20050.0,20050.0,19950.0,19950.0,1100
BCM,2018-05-21,22920.0,22920.0,19780.0,19780.0,7100
BCM,2018-05-22,21120.0,21120.0,19780.0,19780.0,600
BCM,2018-05-23,22920.0,22920.0,22920.0,22920.0,100
BCM,2018-05-24,22920.0,22920.0,22920.0,22920.0,0
BCM,2018-05-25,22920.0,22920.0,22920.0,22920.0,0
BCM,2018-05-28,19600.0,21120.0,19600.0,21120.0,4300
BCM,2018-05-29,19780.0,21590.0,19780.0,21590.0,8900
BCM,2018-05-30,21120.0,21120.0,21120.0,21120.0,0
BCM,2018-05-31,21120.0,21120.0,21120.0,21120.0,0
BCM,2018-06-01,21120.0,21120.0,19780.0,20230.0,800
BCM,2018-06-04,21310.0,21310.0,19500.0,19500.0,3100
BCM,2018-06-05,20950.0,20950.0,20950.0,20950.0,100
BCM,2018-06-06,22030.0,22030.0,18880.0,18880.0,92700
BCM,2018-06-07,22380.0,22380.0,17980.0,17980.0,52000
BCM,2018-06-08,20680.0,20680.0,17980.0,18880.0,9800
BCM,2018-06-11,18880.0,18880.0,18420.0,18420.0,700
BCM,2018-06-12,19340.0,19340.0,17980.0,17980.0,2100
BCM,2018-06-13,18780.0,18780.0,17980.0,17980.0,300
BCM,2018-06-14,18710.0,18710.0,18420.0,18420.0,200
