date,open,high,low,close,volume
2026-03-16,15750.0,15850.0,15400.0,15600.0,10310220
2026-03-17,15550.0,15600.0,15150.0,15250.0,7349480
2026-03-18,15200.0,15300.0,14800.0,15250.0,7642025
2026-03-19,14900.0,15650.0,14900.0,15400.0,10091740
2026-03-20,15350.0,15400.0,15100.0,15150.0,5079720
,PDR.VN,PDR.VN,PDR.VN,PDR.VN,PDR.VN
