date,open,high,low,close,volume,ticker,return_1d,return_5d,return_10d,return_20d,ma_5,ma_10,ma_20,ma_50,ema_12,ema_26,volatility_5,volatility_10,volatility_20,rsi_14,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,volume_ma_20,volume_ratio,volume_change,momentum_5,momentum_10,momentum_20,daily_range,daily_range_pct,price_range_5,price_range_5_pct,price_range_10,price_range_10_pct,price_range_20,price_range_20_pct,atr_14,hl_ratio,close_position
2024-03-18,82.3,82.9,79.9,80.2,2494200,GAS,-2.5516403402187082,3.084832904884327,3.084832904884327,1.1349306431273742,80.08000000000001,79.72999999999999,78.625,77.038,79.49160971270429,78.44964861792488,1.9718374678376889,1.7343036434036347,1.4196444755405184,59.84848484848488,1.0419610947794098,0.8294696980669933,0.21249139671241646,78.625,81.75036313679563,75.49963686320437,6.250726273591255,1609015.0,1.55014092472724,3.97265413314436,2.4000000000000057,2.4000000000000057,0.9000000000000057,3.0,3.7406483790523692,5.200000000000003,6.483790523690776,5.200000000000003,6.483790523690776,7.1000000000000085,8.852867830423952,1.6357142857142872,1.037546933667084,0.09999999999999905
2024-03-19,81.0,81.0,79.7,79.7,950400,GAS,-0.6234413965087282,2.310654685494229,0.8860759493670933,1.3994910941475869,80.44,79.8,78.67999999999999,77.12,79.52366975690363,78.54226723881932,2.0464463366901957,1.6992704169498292,1.4116861214511887,56.39097744360903,0.9814025180843089,0.8598562620704565,0.12154625601385238,78.67999999999999,81.84201135188863,75.51798864811136,6.324022703777274,1606170.0,0.5917181867423748,-61.89559778686553,1.7999999999999972,0.7000000000000028,1.1000000000000085,1.2999999999999972,1.6311166875784155,4.900000000000006,6.148055207026356,5.200000000000003,6.52446675031368,7.1000000000000085,8.908406524466761,1.614285714285715,1.016311166875784,0.0
2024-03-20,80.0,81.2,79.6,81.0,1462300,GAS,1.6311166875784044,2.5316455696202445,0.9975062344139696,4.247104247104239,80.84,79.88,78.845,77.22,79.75079748661076,78.7243215174253,2.0736930194006353,1.7100009968615333,1.4214484979847246,62.85714285714283,1.0264759691854692,0.8931802034934591,0.13329576569201018,78.845,82.13356071541126,75.55643928458873,6.57712143082253,1623690.0,0.900602947606994,53.861531986531986,2.0,0.7999999999999972,3.299999999999997,1.6000000000000085,1.975308641975319,3.5,4.320987654320987,5.200000000000003,6.419753086419757,7.1000000000000085,8.765432098765443,1.6357142857142872,1.020100502512563,0.8749999999999989
2024-03-21,81.9,81.9,80.5,81.0,938700,GAS,0.0,0.0,0.746268656716409,3.979460847240035,80.84,79.94,79.0,77.306,79.94298248867065,78.89289029391232,1.7417787286348847,1.7096011343698307,1.4222361045975023,62.318840579710155,1.050092194758335,0.9245626017464343,0.1255295930119007,79.0,82.39163056578036,75.60836943421964,6.783261131560721,1618745.0,0.5798936830692913,-35.80660603159407,0.0,0.5999999999999943,3.0999999999999943,1.4000000000000057,1.7283950617284023,3.3000000000000114,4.074074074074089,5.200000000000003,6.419753086419757,7.1000000000000085,8.765432098765443,1.7000000000000017,1.0173913043478262,0.3571428571428557
2024-03-22,81.0,81.5,80.4,80.5,1235000,GAS,-0.6172839506172867,-2.1871202916160404,1.2578616352201255,5.366492146596857,80.47999999999999,80.03999999999999,79.205,77.372,80.02867749041363,79.01193545732622,1.500577328655578,1.6772819333935811,1.347197777521385,59.57446808510638,1.0167420330874108,0.9429984880146297,0.07374354507278114,79.205,82.426294280581,75.98370571941899,6.442588561162012,1582740.0,0.7802924043115104,31.564930222648346,-1.7999999999999972,1.0,4.099999999999994,1.0999999999999943,1.3664596273291856,3.3000000000000114,4.099378881987592,5.200000000000003,6.459627329192551,7.1000000000000085,8.819875776397526,1.7142857142857153,1.013681592039801,0.09090909090908621
2024-03-25,80.5,81.4,80.1,80.4,972900,GAS,-0.1242236024844634,0.24937655860348684,3.3419023136247006,5.51181102362206,80.52000000000001,80.3,79.41499999999999,77.444,80.08580403034999,79.11475505307982,0.9262184879301434,1.4833033164092795,1.3446869660116378,55.3846153846154,0.971048977270172,0.9486085858657382,0.02244039140443388,79.41499999999999,82.34597792194788,76.4840220780521,5.861955843895771,1576645.0,0.6170697905996594,-21.222672064777328,0.20000000000000284,2.6000000000000085,4.200000000000003,1.3000000000000114,1.6169154228855862,2.3000000000000114,2.8606965174129493,5.200000000000003,6.467661691542291,6.700000000000003,8.333333333333336,1.7071428571428586,1.0162297128589264,0.2307692307692375
2024-03-26,80.5,80.9,80.0,80.7,596500,GAS,0.3731343283582156,1.2547051442910906,3.594351732991008,3.9948453608247503,80.72,80.58000000000001,79.57000000000001,77.54,80.18029571798844,79.23218060470353,0.8481358446636866,1.481459542530789,1.2941920751588205,52.06611570247934,0.9481151132849135,0.9485098913495733,-0.0003947780646598176,79.57000000000001,82.42369566481203,76.71630433518798,5.707391329624045,1548755.0,0.38514807054698774,-38.6884571898448,1.0,2.799999999999997,3.1000000000000085,0.9000000000000057,1.1152416356877395,2.3000000000000114,2.8500619578686637,4.900000000000006,6.071871127633216,5.700000000000003,7.0631970260223085,1.5857142857142879,1.01125,0.777777777777776
2024-03-27,81.2,81.7,80.1,80.3,847300,GAS,-0.495662949194553,-0.8641975308641969,1.6455696202531511,2.9487179487179382,80.58,80.71000000000001,79.685,77.63600000000001,80.19871176137482,79.31127833768845,0.3975142334976073,1.4540261182731191,1.3011159486967891,49.593495934959314,0.8874334236863746,0.9362945978169336,-0.048861174130559015,79.685,82.45649019387321,76.9135098061268,5.542980387746411,1512590.0,0.5601650149743156,42.0452640402347,-0.7000000000000028,1.2999999999999972,2.299999999999997,1.6000000000000085,1.9925280199252908,1.9000000000000057,2.3661270236612775,3.5,4.35865504358655,5.700000000000003,7.098381070983814,1.6214285714285737,1.0199750312109863,0.1250000000000011
2024-03-28,80.4,80.7,79.9,80.3,774800,GAS,0.0,-0.8641975308641969,-0.8641975308641969,3.746770025839785,80.44,80.64000000000001,79.83,77.72200000000001,80.21429456731715,79.38451697934116,0.3975142334976073,1.1950270596552433,1.2836577150924318,53.508771929824555,0.8297775879759968,0.9149911958487462,-0.08521360787274945,79.83,82.39379652694541,77.26620347305459,5.12759305389082,1488540.0,0.5205100299622449,-8.556591526023837,-0.7000000000000028,-0.7000000000000028,2.8999999999999915,0.7999999999999972,0.9962640099626366,1.7999999999999972,2.2415940224159367,3.3000000000000114,4.109589041095905,5.6000000000000085,6.973848069738492,1.528571428571431,1.0100125156445556,0.4999999999999911
2024-03-29,80.6,81.2,80.2,80.2,616400,GAS,-0.12453300124531941,-0.3726708074534124,-2.5516403402187082,3.350515463917536,80.38,80.42999999999999,79.96000000000001,77.824,80.21209540311452,79.44492312901959,0.3115607542762463,1.0389956006309427,1.2854684591470493,62.24489795918373,0.767172274094932,0.8854274114979834,-0.11825513740305138,79.96000000000001,82.30174923373163,77.61825076626839,4.683498467463238,1469810.0,0.419373932685177,-20.443985544656684,-0.29999999999999716,-2.0999999999999943,2.6000000000000085,1.0,1.2468827930174562,1.7999999999999972,2.2443890274314175,3.3000000000000114,4.11471321695762,5.200000000000003,6.483790523690776,1.4785714285714309,1.0124688279301746,0.0
