date,open,high,low,close,volume,ticker,return_1d,return_5d,return_10d,return_20d,ma_5,ma_10,ma_20,ma_50,ema_12,ema_26,volatility_5,volatility_10,volatility_20,rsi_14,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,volume_ma_20,volume_ratio,volume_change,momentum_5,momentum_10,momentum_20,daily_range,daily_range_pct,price_range_5,price_range_5_pct,price_range_10,price_range_10_pct,price_range_20,price_range_20_pct,atr_14,hl_ratio,close_position
2018-01-15,55.0,55.6,53.7,54.6,2874160,VRE,-0.7272727272727209,17.67241379310345,15.80063626723225,18.954248366013072,51.660000000000004,49.365,48.2275,47.276,50.02642126376987,48.49971875932611,2.97006748664276,2.7981357772455744,2.486422240871542,80.15873015873015,1.5267025044437617,0.722686387566527,0.8040161168772346,48.2275,53.45681765700789,42.99818234299211,10.45863531401578,1898939.5,1.5135605952690963,-37.35360981361884,8.200000000000003,7.450000000000003,8.700000000000003,1.8999999999999986,3.4798534798534773,9.200000000000003,16.849816849816854,9.399999999999999,17.216117216117212,10.200000000000003,18.681318681318686,1.5678571428571435,1.0353817504655494,0.4736842105263154
2018-01-16,54.9,54.9,53.8,53.9,2440360,VRE,-1.2820512820512886,14.680851063829792,13.833157338965151,16.414686825054005,53.04,50.019999999999996,48.6075,47.54299999999999,50.62235645395912,48.89973959196862,3.575823599130289,2.9211594080046326,2.5339096968140304,73.98373983739836,1.7226168619905025,0.9226724824513222,0.7999443795391803,48.6075,54.32849319680547,42.886506803194536,11.441986393610932,1900241.5,1.2842367667478054,-15.09310546385727,6.899999999999999,6.549999999999997,7.600000000000001,1.1000000000000014,2.040816326530615,8.600000000000001,15.955473098330245,9.399999999999999,17.439703153988866,10.200000000000003,18.9239332096475,1.528571428571429,1.0204460966542752,0.09090909090909208
2018-01-17,54.3,57.3,54.0,55.0,3459330,VRE,2.0408163265306145,10.441767068273089,16.03375527426161,18.790496760259188,54.08,50.78,49.0425,47.832,51.29584007642695,49.35161073330428,3.11854013453363,2.894167355348251,2.541394438182546,79.37743190661476,1.9442293431226716,1.1269838545855921,0.8172454885370795,49.0425,55.32063876206866,42.76436123793133,12.556277524137329,2008309.5,1.7225084081910682,41.754905014014334,5.200000000000003,7.600000000000001,8.700000000000003,3.299999999999997,5.999999999999995,8.299999999999997,15.090909090909085,11.099999999999994,20.18181818181817,11.699999999999996,21.272727272727266,1.7107142857142859,1.0611111111111111,0.3030303030303033
2018-01-18,54.6,58.8,54.5,57.5,2999350,VRE,4.545454545454541,10.789980732177273,21.822033898305083,25.54585152838429,55.2,51.81,49.6275,48.17099999999999,52.25032621851511,49.95519512342989,3.1786520797056785,2.946785204273746,2.6213983083232413,85.8108108108108,2.2951310950852246,1.3606133026855187,0.9345177923997059,49.6275,56.75627600773236,42.498723992267635,14.257552015464725,2086767.0,1.437319068204548,-13.29679446598041,5.600000000000001,10.299999999999997,11.700000000000003,4.299999999999997,7.4782608695652115,6.699999999999996,11.65217391304347,12.599999999999994,21.91304347826086,13.0,22.608695652173914,1.9607142857142854,1.0788990825688072,0.6976744186046516
2018-01-19,58.7,61.5,58.5,61.0,3426360,VRE,6.08695652173914,10.909090909090914,29.78723404255319,26.556016597510368,56.4,53.21,50.2675,48.58,53.5964298772051,50.77332881799064,3.2134849475393987,3.0610251562389847,2.696266483198452,88.36565096952909,2.8231010592144585,1.6531108539913069,1.1699902052231517,50.2675,58.97921473845476,41.55578526154524,17.42342947690952,2113252.5,1.6213680097385428,14.236751296114146,6.0,14.0,12.799999999999997,3.0,4.918032786885246,7.799999999999997,12.786885245901637,15.299999999999997,25.081967213114748,15.299999999999997,25.081967213114748,2.1357142857142857,1.0512820512820513,0.8333333333333334
2018-01-22,60.1,61.0,58.5,59.5,3749050,VRE,-2.4590163934426257,8.974358974358964,28.23275862068966,24.47698744769875,57.379999999999995,54.52,50.8525,48.90299999999999,54.504671434558155,51.41974890554688,3.660971512713645,3.248084313064327,2.7845610484301844,81.3953488372093,3.0849225290112727,1.9394731889953003,1.1454493400159724,50.8525,60.39798529272784,41.30701470727216,19.09097058545568,2252560.5,1.6643504136736837,9.417866190359447,4.899999999999999,13.100000000000001,11.700000000000003,2.5,4.201680672268908,7.700000000000003,12.941176470588239,15.100000000000001,25.378151260504207,15.299999999999997,25.71428571428571,2.2714285714285714,1.0427350427350428,0.4
2018-01-25,59.0,61.4,56.0,56.0,7105690,VRE,-5.882352941176472,3.8961038961039085,19.14893617021276,19.14893617021276,57.8,55.42,51.302499999999995,49.096,54.73472198308767,51.75902676439526,4.969229490069614,4.210240116739412,3.143963784921432,68.85964912280701,2.975695218692408,2.146717594934722,0.828977623757686,51.302499999999995,60.931484479438225,41.673515520561764,19.25796895887646,2563768.0,2.7715807358544144,89.53308171403422,2.1000000000000014,9.0,9.0,5.399999999999999,9.64285714285714,7.5,13.392857142857142,14.5,25.892857142857146,15.299999999999997,27.32142857142857,2.5785714285714283,1.0964285714285713,0.0
2018-01-26,57.0,58.5,55.0,55.0,4619400,VRE,-1.7857142857142905,0.0,10.441767068273089,14.583333333333325,57.8,55.94,51.652499999999996,49.25599999999999,54.77553398568956,51.99909885592154,5.037329124015451,4.080306173354923,3.186747110065966,66.52542372881355,2.776435129768025,2.2726611019013827,0.5037740278666423,51.652499999999996,61.28492741445457,42.02007258554542,19.26485482890915,2716956.0,1.700211560290266,-34.990127630110514,0.0,5.200000000000003,7.0,3.5,6.363636363636363,7.0,12.727272727272727,12.5,22.727272727272727,15.299999999999997,27.818181818181813,2.7499999999999996,1.0636363636363637,0.0
2018-01-29,56.9,57.9,54.9,55.0,4390910,VRE,0.0,-4.347826086956519,5.973025048169567,15.911485774499457,57.3,56.25,52.029999999999994,49.465999999999994,54.8100672186604,52.22138782955698,4.405227790959699,3.934555497225492,3.161435494540124,67.09401709401709,2.5886793891034188,2.3358647593417903,0.2528146297616285,52.029999999999994,61.560195778626294,42.499804221373694,19.0603915572526,2881325.5,1.5239201541096277,-4.946313374031264,-2.5,3.1000000000000014,7.549999999999997,3.0,5.454545454545454,6.600000000000001,12.000000000000002,9.399999999999999,17.090909090909086,15.299999999999997,27.818181818181813,2.925,1.0546448087431695,0.033333333333333805
2018-01-30,55.0,56.3,54.5,55.2,2951010,VRE,0.363636363636366,-9.508196721311467,0.363636363636366,17.697228144989353,56.14,56.27,52.44500000000001,49.69,54.870056877328025,52.442025768108316,2.4952386757627467,3.4631147131796456,3.1302589437320893,69.1304347826087,2.4280311092197095,2.3542980293173743,0.07373307990233524,52.44500000000001,61.754921137095984,43.13507886290403,18.619842274191953,2981858.5,0.9896546063470147,-32.792746833799825,-5.799999999999997,0.20000000000000284,8.300000000000004,1.7999999999999972,3.260869565217386,6.899999999999999,12.499999999999996,7.799999999999997,14.130434782608688,15.299999999999997,27.71739130434782,2.9857142857142853,1.0330275229357797,0.38888888888889106
2018-01-31,55.9,58.7,55.4,55.4,6251570,VRE,0.36231884057971175,-6.890756302521006,1.46520146520146,17.497348886532336,55.32000000000001,56.35,52.8575,49.906000000000006,54.95158658850833,52.66113497047066,2.6653224061497887,3.451664238095227,3.1314417641996988,68.58407079646017,2.2904516180376646,2.3415287470614325,-0.05107712902376793,52.8575,61.90702892056872,43.80797107943128,18.099057841137437,3153149.0,1.9826433828531413,111.845097102348,-4.100000000000001,0.7999999999999972,8.25,3.3000000000000043,5.956678700361018,6.899999999999999,12.454873646209384,7.700000000000003,13.898916967509031,15.299999999999997,27.617328519855594,3.1714285714285713,1.0595667870036103,0.0
2018-02-01,55.5,55.5,53.0,55.0,3912850,VRE,-0.7220216606498187,-1.7857142857142905,2.0408163265306145,16.15628299894403,55.120000000000005,56.46,53.239999999999995,50.05200000000001,54.95903480566089,52.834384231917284,0.9135984639368917,3.429435869584909,3.1501842353490037,62.87128712871288,2.124650573743608,2.298153112397868,-0.1735025386542599,53.239999999999995,61.94968003521303,44.53031996478696,17.419360070426066,3318977.5,1.1789323669714542,-37.410122577208604,-1.0,1.1000000000000014,7.649999999999999,2.5,4.545454545454546,5.700000000000003,10.363636363636369,8.5,15.454545454545453,15.299999999999997,27.818181818181813,3.121428571428571,1.0471698113207548,0.8
2018-02-02,54.9,55.1,54.4,55.1,1375890,VRE,0.1818181818181941,0.1818181818181941,0.1818181818181941,16.24472573839664,55.14,56.470000000000006,53.625,50.13400000000001,54.98072175863614,53.00220762214563,0.4502717890863877,3.3717771511800896,3.1493481883382204,58.791208791208796,1.9785141364905101,2.2342253172163966,-0.2557111807258865,53.625,61.9185295006979,45.3314704993021,16.5870590013958,3304592.5,0.41635693357047804,-64.83662803327498,0.10000000000000142,0.10000000000000142,7.700000000000003,0.7000000000000028,1.2704174228675187,5.700000000000003,10.344827586206902,8.5,15.426497277676951,15.299999999999997,27.767695099818507,2.9428571428571426,1.0128676470588236,1.0
2018-02-05,54.0,54.5,51.3,51.3,3142830,VRE,-6.896551724137934,-6.727272727272737,-10.782608695652174,8.68644067796609,54.4,55.85,53.83,50.12799999999999,54.41445687269213,52.87611816865336,3.1374088766026675,3.6164856294302585,3.584495920123786,40.2116402116402,1.5383387040387646,2.09504799458087,-0.5567092905421056,53.83,61.643645284473685,46.01635471552631,15.627290568947373,3414965.5,0.9203109079725695,128.42160347120773,-3.700000000000003,-6.200000000000003,4.099999999999994,3.200000000000003,6.2378167641325595,7.400000000000006,14.424951267056544,10.200000000000003,19.883040935672522,15.299999999999997,29.82456140350877,2.957142857142857,1.0623781676413255,0.0
2018-02-06,47.75,51.0,47.75,47.75,9071240,VRE,-6.9200779727095485,-13.496376811594214,-21.721311475409834,1.5957446808510634,52.910000000000004,54.525,53.86749999999999,50.04299999999999,53.389155815354876,52.49640571171608,3.7738000281200486,3.0488854733645177,3.9465902117548595,34.4671201814059,0.8927501036387966,1.8545884163924555,-0.9618383127536589,53.86749999999999,61.54921273390997,46.18578726609002,15.363425467819951,3785301.5,2.396437905936951,188.63285637466868,-7.450000000000003,-13.25,0.75,3.25,6.806282722513089,10.950000000000003,22.931937172774873,13.649999999999999,28.58638743455497,15.299999999999997,32.04188481675392,3.0749999999999997,1.068062827225131,0.0
2018-02-07,50.4,51.0,49.1,51.0,3212830,VRE,6.806282722513091,-7.942238267148016,-14.28571428571429,9.913793103448288,52.029999999999994,53.675,54.097500000000004,50.050999999999995,53.02159338222336,52.385560844181555,5.7211799489134245,4.208198266857767,4.198268943273913,44.10569105691057,0.6360325380418033,1.610877240722325,-0.9748447026805218,54.097500000000004,61.08157775624399,47.11342224375602,13.968155512487968,3860539.5,0.8322230610514412,-64.58224013475555,-4.399999999999999,-8.5,4.600000000000001,1.8999999999999986,3.7254901960784284,7.75,15.196078431372548,13.649999999999999,26.764705882352942,15.100000000000001,29.607843137254903,3.228571428571428,1.0386965376782078,1.0
2018-02-08,50.0,51.5,49.0,49.0,1062120,VRE,-3.9215686274509776,-10.909090909090914,-12.5,4.255319148936176,50.83,52.975,54.197500000000005,50.00899999999999,52.40288670803515,52.13477855942736,5.789521326805879,4.020170640252819,4.310614037824982,38.23529411764706,0.2681081486077872,1.3423234222994176,-1.0742152736916304,54.197500000000005,60.800567468987346,47.594432531012664,13.206134937974682,3816391.5,0.27830478083812943,-66.94129474637624,-6.0,-7.0,2.0,2.5,5.1020408163265305,7.350000000000001,15.000000000000002,10.950000000000003,22.34693877551021,14.5,29.591836734693878,3.164285714285714,1.0510204081632653,0.0
2018-02-09,45.8,47.75,45.6,47.75,3215790,VRE,-2.5510204081632626,-13.33938294010889,-13.181818181818183,-4.116465863453811,49.36,52.25,54.09499999999999,49.96799999999999,51.68705798372205,51.80998014761793,5.641451104633215,4.038676398148589,4.139003375895763,29.896907216494853,-0.12292216389587907,1.0492743050603583,-1.1721964689562374,54.09499999999999,61.040267226111894,47.14973277388809,13.890534452223804,3826239.5,0.8404570597318856,202.7708733476443,-7.350000000000001,-7.25,-2.049999999999997,2.1499999999999986,4.502617801047117,8.899999999999999,18.638743455497377,13.100000000000001,27.434554973821996,15.899999999999999,33.29842931937173,3.1,1.0471491228070176,1.0
2018-02-12,47.9,48.45,45.5,47.75,3845820,VRE,0.0,-6.9200779727095485,-13.181818181818183,-7.996146435452789,48.65,51.525,53.8875,49.935,51.081356755457115,51.509240877424006,5.1822600686804225,4.038676398148589,4.011435142646079,18.07228915662651,-0.4278841219668905,0.7538426196549086,-1.1817267416217991,53.8875,61.33845366555951,46.43654633444049,14.90190733111902,3884723.5,0.9899855163436986,19.59176438759993,-3.549999999999997,-7.25,-4.149999999999999,2.950000000000003,6.178010471204194,6.0,12.56544502617801,13.200000000000003,27.64397905759163,16.0,33.50785340314136,3.025,1.0648351648351648,0.762711864406779
2018-02-13,47.9,48.2,47.7,48.05,3305870,VRE,0.6282722513089034,0.6282722513089034,-12.952898550724646,-12.636363636363646,48.71,50.81,53.54,49.916000000000004,50.614994177694484,51.25300081242963,4.13586570290803,4.051850568642843,3.737451564054344,20.7161125319693,-0.6380066347351487,0.47547276877689715,-1.1134794035120459,53.54,61.40903324497522,45.67096675502478,15.738066489950441,3820621.5,0.865270218471,-14.03991866494012,0.29999999999999716,-7.150000000000006,-6.950000000000003,0.5,1.040582726326743,6.0,12.486992715920916,13.200000000000003,27.471383975026022,16.0,33.29864724245578,2.882142857142857,1.0104821802935011,0.6999999999999886
2018-02-21,50.0,50.0,48.7,49.5,2928020,VRE,3.017689906347565,-2.941176470588236,-10.649819494584833,-9.340659340659341,48.410000000000004,50.22,53.285000000000004,49.916000000000004,50.44345661189533,51.12314890039781,2.7289934093851915,4.255046226928789,3.823900271186641,31.42857142857143,-0.6796922885024799,0.24443975732102177,-0.9241320458235016,53.285000000000004,61.33779291204049,45.232207087959516,16.105585824080975,3823314.5,0.7658328918533905,-11.429669043247316,-1.5,-5.899999999999999,-5.100000000000001,1.2999999999999972,2.6262626262626205,6.0,12.121212121212121,10.0,20.2020202020202,16.0,32.323232323232325,2.635714285714286,1.0266940451745379,0.6153846153846145
2018-02-22,49.0,49.9,49.0,49.9,3575630,VRE,0.8080808080808133,1.8367346938775508,-9.272727272727277,-7.421150278293132,48.589999999999996,49.709999999999994,53.085,49.92400000000001,50.35984790237297,51.03254527814612,1.9960948835766545,4.29498353932597,3.8276417074393354,34.91124260355029,-0.6726973757731471,0.06101233070218798,-0.7337097064753351,53.085,61.27106646751206,44.898933532487945,16.372132935024112,3880078.0,0.9215355979957104,22.11767679182519,0.8999999999999986,-5.100000000000001,-4.0,0.8999999999999986,1.803607214428855,4.5,9.01803607214429,9.600000000000001,19.238476953907817,16.0,32.06412825651302,2.45,1.0183673469387755,1.0
2018-02-23,50.0,51.6,49.8,51.6,3430070,VRE,3.4068136272545235,8.062827225130897,-6.352087114337568,-6.181818181818177,49.36,49.36,52.915,49.996,50.55064053277713,51.0745789612464,1.5331290552947443,4.500142828997008,3.883665511614404,40.86021505376344,-0.5239384284692719,-0.055977821132104,-0.4679606073371679,52.915,61.074792309018335,44.75520769098166,16.31958461803667,3878615.0,0.8843543378241976,-4.070891003823107,3.8500000000000014,-3.5,-3.3999999999999986,1.8000000000000043,3.4883720930232642,6.100000000000001,11.821705426356592,9.0,17.441860465116278,16.0,31.007751937984494,2.3642857142857148,1.036144578313253,1.0
2018-02-26,54.0,55.2,52.7,55.0,5377610,VRE,6.589147286821695,15.18324607329844,7.21247563352827,-4.347826086956519,50.81,49.730000000000004,52.79,50.153999999999996,51.23515737388834,51.36535089004297,2.4195501450671064,4.410758715298272,4.040120596156822,49.541284403669714,-0.13019351615462682,-0.07082096013660857,-0.05937255601801825,52.79,60.7276252580253,44.8523747419747,15.875250516050599,3997528.0,1.3452338545220948,56.77843309320218,7.25,3.700000000000003,-2.5,2.5,4.545454545454546,7.5,13.636363636363635,9.700000000000003,17.63636363636364,16.0,29.09090909090909,2.4928571428571438,1.047438330170778,0.9199999999999988
2018-02-27,55.2,56.8,53.8,54.9,3097420,VRE,-0.181818181818183,14.255983350676393,14.97382198952879,-9.999999999999998,52.17999999999999,50.445,52.485,50.332,51.79897931636706,51.62717675003978,2.6270847962217365,3.529256671168645,3.7650474765580277,48.8479262672811,0.17180256632727975,-0.02229625484383091,0.19409882117111066,52.485,59.51074963222686,45.45925036777314,14.051499264453724,3981081.0,0.7780349106184978,-42.40155013100615,6.850000000000001,7.149999999999999,-6.100000000000001,3.0,5.46448087431694,8.099999999999994,14.754098360655728,11.299999999999997,20.582877959927135,15.899999999999999,28.96174863387978,2.457142857142858,1.0557620817843867,0.36666666666666714
2018-02-28,54.0,55.9,53.8,53.8,5531320,VRE,-2.003642987249543,8.686868686868676,5.490196078431375,-9.579831932773109,53.04,50.725,52.2,50.46799999999999,52.10682865231059,51.788126620407205,3.349174994391956,3.1226198046597973,3.753668146299724,47.32142857142857,0.31870203190338486,0.04590340250561224,0.2727986293977726,52.2,58.446851838705314,45.95314816129469,12.493703677410622,4070194.5,1.3589817390790537,78.57830065021858,4.299999999999997,2.799999999999997,-5.700000000000003,2.1000000000000014,3.903345724907066,7.799999999999997,14.498141263940518,11.299999999999997,21.003717472118954,15.899999999999999,29.55390334572491,2.4285714285714297,1.0390334572490707,0.0
2018-03-01,54.5,55.5,54.0,55.4,3196120,VRE,2.973977695167296,11.022044088176353,13.061224489795919,-1.0714285714285787,54.14,51.364999999999995,52.169999999999995,50.675999999999995,52.61347039810896,52.055672796673335,3.341198764279492,2.758422253346688,3.596320045174061,50.62761506276149,0.5577976014356238,0.14828224229161457,0.40951535914400927,52.169999999999995,58.34536702510352,45.99463297489647,12.350734050207052,3874716.0,0.8248656159574018,-42.21777080335255,5.5,6.399999999999999,-0.6000000000000014,1.5,2.707581227436823,7.0,12.63537906137184,11.299999999999997,20.397111913357396,13.200000000000003,23.826714801444048,2.500000000000001,1.0277777777777777,0.9333333333333323
2018-03-02,54.4,55.5,54.4,55.2,3044310,VRE,-0.3610108303249038,6.976744186046524,15.602094240837694,0.363636363636366,54.85999999999999,52.11,52.17999999999999,50.86,53.011398029169115,52.288585922845684,3.412942036365121,2.495905539271352,3.5729593535111697,59.605911330049274,0.7228121063234312,0.2631882150979779,0.4596238912254533,52.17999999999999,58.37527833791263,45.98472166208735,12.39055667582528,3795961.5,0.8019865322659357,-4.749821658761244,3.6000000000000014,7.450000000000003,0.20000000000000284,1.1000000000000014,1.9927536231884084,4.099999999999994,7.427536231884048,11.299999999999997,20.471014492753618,13.200000000000003,23.913043478260875,2.307142857142858,1.0202205882352942,0.7272727272727302
